,0,1,2,3,4,5,
 
,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,
ind.fnonwest,,,,,,,,,-0.00{(0.00)},1.000,0.00{(0.00)},.224,

tot.mwest,,,,,,,,,0.06{(0.02)}**,.003,0.06{(0.02)}**,.003,

tot.mnonwest,,,,,,,,,0.04{(0.02)},.070,0.04{(0.02)},.061,

tot.fsex,,,,,,,,,0.01{(0.01)},.411,0.01{(0.01)},.433,

tot.fwest,,,,,,,,,0.08{(0.02)}**,.000,0.08{(0.02)}**,.000,

tot.fnonwest,,,,,,,,,0.02{(0.02)},.288,0.02{(0.02)},.262,

,Fit Indices,

chi^2,0.00(0) ,,0.00(0) ,,46.93(5)**,.000,36.29(2)**,.000,48.24(7)**,.000,37.05(2)**,.000,

CFI,1.00,,1.00,,0.99,,0.99,,0.99,,0.99,,

TLI,1.00,,1.00,,0.97,,0.94,,0.97,,0.92,,

RMSEA,0.00,,0.00,,0.06,,0.08,,0.05,,0.08,,

_BOML10_+Fixed parameter,
_BOML10_*p<0.05, **p<0.01, **p<0.001,



